Age,Gender,Tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,TechSupport,OnlineSecurity,Churn
56,Male,40,102.79,4119.84,One year,DSL,Credit card,Yes,Yes,0
69,Male,45,98.77,4442.62,One year,DSL,Bank transfer,Yes,Yes,0
46,Male,62,82.44,5146.33,Month-to-month,Fiber optic,Electronic check,Yes,No,0
32,Female,58,69.45,4070.86,Month-to-month,DSL,Bank transfer,No,Yes,0
60,Male,67,117.96,7916.51,Month-to-month,DSL,Credit card,No,Yes,1
25,Male,56,34.5,1913.98,Month-to-month,Fiber optic,Electronic check,Yes,Yes,1
38,Male,40,92.52,3724.47,Month-to-month,Fiber optic,Mailed check,No,Yes,0
56,Female,40,39.12,1631.58,Month-to-month,DSL,Credit card,No,No,1
36,Female,33,53.83,1775.03,Month-to-month,No,Credit card,Yes,Yes,0
40,Male,6,50.87,291.86,One year,Fiber optic,Electronic check,Yes,Yes,0
28,Male,19,114.7,2198.71,One year,Fiber optic,Electronic check,No,No,1
28,Male,40,116.74,4671.54,One year,DSL,Mailed check,No,No,0
41,Male,59,38.3,2192.81,Month-to-month,DSL,Credit card,No,Yes,1
53,Female,59,22.2,1321.77,Month-to-month,DSL,Electronic check,No,Yes,0
57,Female,48,92.0,4348.66,Two year,DSL,Mailed check,Yes,No,0
41,Female,41,61.8,2552.52,One year,Fiber optic,Mailed check,No,Yes,0
20,Female,13,28.88,335.58,Two year,No,Electronic check,Yes,No,0
39,Male,45,88.38,3978.94,Month-to-month,Fiber optic,Credit card,Yes,Yes,0
19,Male,53,74.51,3968.56,One year,DSL,Bank transfer,No,No,0
41,Male,42,118.05,5080.8,One year,Fiber optic,Bank transfer,No,No,1
61,Female,63,42.74,2729.76,Month-to-month,DSL,Mailed check,No,No,0
47,Male,27,60.4,1699.04,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,0
55,Female,38,74.25,2915.09,One year,Fiber optic,Bank transfer,Yes,Yes,0
19,Female,60,99.17,5974.66,Month-to-month,Fiber optic,Electronic check,Yes,Yes,0
38,Male,7,74.88,538.44,Month-to-month,No,Mailed check,Yes,Yes,1
50,Male,5,81.29,353.11,One year,DSL,Credit card,No,No,0
29,Male,45,42.61,1911.62,Two year,Fiber optic,Mailed check,Yes,No,0
39,Female,58,104.69,6035.87,Month-to-month,No,Electronic check,Yes,No,1
61,Male,31,62.86,1928.61,Month-to-month,Fiber optic,Bank transfer,No,Yes,0
42,Female,23,34.1,877.83,Month-to-month,Fiber optic,Credit card,Yes,Yes,0
66,Male,42,86.42,3635.37,One year,No,Mailed check,Yes,Yes,0
44,Female,10,41.61,372.31,Month-to-month,DSL,Bank transfer,No,No,1
59,Female,32,29.76,1021.05,Two year,No,Mailed check,Yes,Yes,0
45,Male,53,106.2,5676.36,Month-to-month,DSL,Credit card,Yes,Yes,0
33,Female,30,66.02,2030.98,Month-to-month,Fiber optic,Mailed check,Yes,No,0
32,Female,39,94.93,3601.96,One year,No,Mailed check,Yes,No,0
64,Male,31,49.06,1618.29,Two year,DSL,Mailed check,No,Yes,0
68,Female,2,98.7,169.47,Month-to-month,Fiber optic,Bank transfer,Yes,No,1
61,Male,12,31.19,413.18,Month-to-month,DSL,Credit card,No,Yes,1
69,Female,39,55.6,2294.59,Two year,No,Credit card,Yes,No,1
20,Male,66,117.81,7883.23,Month-to-month,No,Bank transfer,No,No,0
