airline,source,destination,distance,departure_hour,weather,delay
Indigo,Kolkata,Delhi,1312,3,Cloudy,0
Vistara,Chennai,Pune,913,3,Rain,0
Vistara,Bangalore,Chennai,279,2,Fog,1
Vistara,Delhi,Mumbai,1136,22,Clear,0
Vistara,Bangalore,Kolkata,1572,3,Rain,0
GoAir,Bangalore,Hyderabad,481,23,Cloudy,1
GoAir,Chennai,Mumbai,1033,4,Cloudy,0
Vistara,Mumbai,Hyderabad,622,13,Rain,0
SpiceJet,Pune,Chennai,913,23,Clear,1
GoAir,Pune,Mumbai,124,21,Cloudy,0
Air India,Chennai,Hyderabad,507,21,Rain,0
Vistara,Hyderabad,Delhi,1266,11,Rain,0
GoAir,Bangalore,Delhi,1732,1,Clear,0
Air India,Delhi,Bangalore,1732,14,Fog,1
Air India,Kolkata,Bangalore,1572,1,Fog,0
SpiceJet,Hyderabad,Chennai,507,19,Cloudy,0
SpiceJet,Mumbai,Hyderabad,622,8,Clear,1
SpiceJet,Bangalore,Pune,736,14,Clear,0
SpiceJet,Mumbai,Pune,124,0,Clear,0
Indigo,Bangalore,Mumbai,846,3,Rain,0
Vistara,Delhi,Kolkata,1312,15,Cloudy,0
Vistara,Pune,Delhi,1155,21,Cloudy,0
Vistara,Mumbai,Hyderabad,622,7,Fog,0
Air India,Chennai,Kolkata,1385,7,Rain,0
GoAir,Hyderabad,Mumbai,622,0,Clear,0
Air India,Delhi,Kolkata,1312,23,Fog,1
Vistara,Delhi,Mumbai,1136,18,Clear,0
SpiceJet,Bangalore,Pune,736,12,Rain,0
SpiceJet,Delhi,Chennai,1760,10,Fog,0
GoAir,Delhi,Pune,1155,15,Rain,0
Indigo,Hyderabad,Bangalore,481,2,Clear,0
GoAir,Hyderabad,Delhi,1266,5,Cloudy,0
GoAir,Kolkata,Chennai,1385,1,Fog,0
Air India,Kolkata,Chennai,1385,18,Cloudy,0
SpiceJet,Hyderabad,Bangalore,481,13,Fog,1
Air India,Pune,Bangalore,736,7,Cloudy,0
SpiceJet,Mumbai,Pune,124,13,Fog,1
Vistara,Pune,Bangalore,736,21,Clear,1
Vistara,Bangalore,Chennai,279,2,Clear,0
SpiceJet,Kolkata,Hyderabad,1207,13,Cloudy,0
GoAir,Chennai,Delhi,1760,18,Clear,0
Air India,Delhi,Pune,1155,0,Fog,1
Vistara,Chennai,Mumbai,1033,19,Rain,0
Vistara,Kolkata,Pune,1577,23,Fog,1
GoAir,Bangalore,Mumbai,846,20,Rain,1
Indigo,Mumbai,Kolkata,1665,5,Rain,0
SpiceJet,Kolkata,Chennai,1385,21,Cloudy,0
Air India,Delhi,Mumbai,1136,21,Clear,0
Indigo,Chennai,Hyderabad,507,17,Rain,1
Vistara,Hyderabad,Chennai,507,11,Rain,0
Indigo,Kolkata,Bangalore,1572,8,Fog,0
GoAir,Pune,Kolkata,1577,12,Rain,1
Air India,Hyderabad,Pune,500,12,Fog,0
Indigo,Delhi,Kolkata,1312,21,Cloudy,0
Vistara,Bangalore,Kolkata,1572,18,Cloudy,0
SpiceJet,Pune,Bangalore,736,15,Rain,0
Indigo,Kolkata,Chennai,1385,20,Cloudy,0
Air India,Chennai,Mumbai,1033,4,Fog,0
GoAir,Delhi,Kolkata,1312,1,Rain,0
Vistara,Pune,Mumbai,124,4,Fog,0
Indigo,Mumbai,Pune,124,19,Fog,1
SpiceJet,Kolkata,Hyderabad,1207,9,Clear,0
Air India,Pune,Delhi,1155,2,Cloudy,0
SpiceJet,Delhi,Kolkata,1312,0,Clear,0
GoAir,Chennai,Pune,913,20,Cloudy,0
Air India,Bangalore,Kolkata,1572,20,Clear,0
GoAir,Pune,Bangalore,736,17,Cloudy,0
GoAir,Kolkata,Hyderabad,1207,4,Cloudy,0
Indigo,Delhi,Hyderabad,1266,8,Fog,0
Air India,Chennai,Pune,913,1,Rain,0
Air India,Kolkata,Chennai,1385,17,Cloudy,0
GoAir,Hyderabad,Pune,500,21,Rain,0
Indigo,Kolkata,Hyderabad,1207,14,Clear,0
Vistara,Mumbai,Delhi,1136,10,Fog,1
Vistara,Delhi,Mumbai,1136,7,Clear,0
Vistara,Kolkata,Delhi,1312,7,Clear,0
Indigo,Mumbai,Kolkata,1665,20,Rain,0
SpiceJet,Bangalore,Kolkata,1572,9,Clear,0
Vistara,Pune,Mumbai,124,4,Clear,0
Indigo,Kolkata,Hyderabad,1207,16,Rain,0
Indigo,Mumbai,Delhi,1136,16,Fog,0
SpiceJet,Kolkata,Bangalore,1572,6,Fog,1
Vistara,Delhi,Bangalore,1732,17,Clear,0
Air India,Delhi,Pune,1155,11,Rain,0
SpiceJet,Delhi,Hyderabad,1266,10,Rain,1
Indigo,Mumbai,Hyderabad,622,10,Clear,0
Indigo,Delhi,Chennai,1760,20,Cloudy,0
SpiceJet,Pune,Kolkata,1577,15,Clear,0
Air India,Mumbai,Kolkata,1665,1,Clear,0
GoAir,Hyderabad,Chennai,507,12,Rain,0
SpiceJet,Pune,Hyderabad,500,18,Rain,1
GoAir,Bangalore,Delhi,1732,20,Clear,0
GoAir,Bangalore,Hyderabad,481,11,Cloudy,0
Air India,Pune,Hyderabad,500,16,Fog,0
Vistara,Hyderabad,Bangalore,481,10,Rain,0
Air India,Bangalore,Pune,736,1,Cloudy,1
Air India,Delhi,Hyderabad,1266,7,Cloudy,0
Indigo,Chennai,Hyderabad,507,3,Rain,0
SpiceJet,Pune,Chennai,913,1,Rain,0
Air India,Mumbai,Hyderabad,622,1,Rain,0
GoAir,Pune,Mumbai,124,3,Cloudy,0
Air India,Chennai,Hyderabad,507,3,Clear,0
Air India,Chennai,Mumbai,1033,8,Rain,0
GoAir,Bangalore,Mumbai,846,9,Fog,0
Vistara,Delhi,Hyderabad,1266,12,Rain,0
SpiceJet,Kolkata,Hyderabad,1207,16,Cloudy,0
Indigo,Hyderabad,Bangalore,481,3,Fog,0
Vistara,Bangalore,Chennai,279,19,Cloudy,0
GoAir,Bangalore,Mumbai,846,0,Clear,0
Air India,Pune,Kolkata,1577,2,Cloudy,0
GoAir,Delhi,Hyderabad,1266,20,Cloudy,0
SpiceJet,Hyderabad,Kolkata,1207,15,Clear,0
Indigo,Delhi,Bangalore,1732,0,Rain,1
Vistara,Hyderabad,Bangalore,481,23,Cloudy,0
Vistara,Hyderabad,Bangalore,481,5,Clear,0
Air India,Hyderabad,Chennai,507,22,Clear,0
Vistara,Hyderabad,Kolkata,1207,1,Fog,1
Vistara,Kolkata,Delhi,1312,19,Cloudy,0
Vistara,Kolkata,Hyderabad,1207,16,Rain,0
Vistara,Mumbai,Chennai,1033,10,Rain,1
Vistara,Chennai,Kolkata,1385,22,Clear,1
Indigo,Chennai,Delhi,1760,6,Clear,0
SpiceJet,Bangalore,Kolkata,1572,10,Rain,1
Air India,Mumbai,Kolkata,1665,5,Clear,1
GoAir,Delhi,Bangalore,1732,8,Clear,0
Vistara,Mumbai,Delhi,1136,20,Fog,1
Vistara,Bangalore,Delhi,1732,13,Rain,1
Indigo,Kolkata,Bangalore,1572,13,Fog,1
GoAir,Hyderabad,Delhi,1266,2,Rain,0
Indigo,Bangalore,Delhi,1732,15,Fog,1
Air India,Bangalore,Pune,736,6,Cloudy,0
Vistara,Hyderabad,Mumbai,622,3,Fog,1
Indigo,Bangalore,Chennai,279,4,Fog,1
Air India,Pune,Chennai,913,18,Rain,0
GoAir,Pune,Delhi,1155,21,Cloudy,1
Indigo,Mumbai,Bangalore,846,9,Clear,0
SpiceJet,Bangalore,Kolkata,1572,21,Clear,0
SpiceJet,Pune,Hyderabad,500,2,Cloudy,0
Vistara,Mumbai,Hyderabad,622,7,Fog,0
GoAir,Pune,Kolkata,1577,2,Clear,0
Vistara,Hyderabad,Pune,500,12,Clear,0
GoAir,Kolkata,Chennai,1385,13,Clear,1
Indigo,Bangalore,Mumbai,846,7,Clear,0
SpiceJet,Chennai,Pune,913,4,Fog,0
Indigo,Hyderabad,Delhi,1266,5,Rain,1
Air India,Hyderabad,Chennai,507,3,Rain,0
Air India,Hyderabad,Mumbai,622,10,Fog,0
Vistara,Hyderabad,Delhi,1266,6,Fog,1
SpiceJet,Bangalore,Kolkata,1572,1,Cloudy,0
GoAir,Mumbai,Delhi,1136,9,Cloudy,0
Air India,Hyderabad,Mumbai,622,5,Cloudy,0
Air India,Hyderabad,Mumbai,622,15,Rain,1
Air India,Chennai,Delhi,1760,9,Cloudy,0
GoAir,Chennai,Delhi,1760,8,Cloudy,0
GoAir,Hyderabad,Kolkata,1207,6,Fog,0
Indigo,Mumbai,Kolkata,1665,7,Cloudy,0
Air India,Kolkata,Hyderabad,1207,18,Clear,0
Indigo,Delhi,Bangalore,1732,17,Clear,0
Indigo,Chennai,Hyderabad,507,14,Rain,1
Vistara,Pune,Hyderabad,500,16,Cloudy,1
SpiceJet,Kolkata,Bangalore,1572,1,Fog,0
GoAir,Chennai,Delhi,1760,6,Fog,0
GoAir,Chennai,Pune,913,7,Cloudy,0
GoAir,Hyderabad,Pune,500,3,Clear,0
GoAir,Delhi,Chennai,1760,15,Clear,0
Vistara,Hyderabad,Bangalore,481,14,Fog,0
SpiceJet,Bangalore,Chennai,279,14,Clear,0
SpiceJet,Delhi,Mumbai,1136,19,Fog,1
Vistara,Delhi,Pune,1155,16,Cloudy,0
SpiceJet,Delhi,Hyderabad,1266,14,Clear,0
Vistara,Hyderabad,Chennai,507,15,Clear,0
Air India,Pune,Chennai,913,7,Cloudy,0
SpiceJet,Chennai,Delhi,1760,2,Clear,0
Indigo,Hyderabad,Pune,500,1,Rain,0
SpiceJet,Hyderabad,Delhi,1266,13,Clear,0
Indigo,Mumbai,Kolkata,1665,7,Clear,0
GoAir,Kolkata,Pune,1577,14,Clear,0
SpiceJet,Delhi,Hyderabad,1266,14,Fog,0
Indigo,Delhi,Kolkata,1312,16,Rain,0
Indigo,Kolkata,Chennai,1385,15,Rain,1
Vistara,Pune,Kolkata,1577,9,Clear,0
Air India,Bangalore,Delhi,1732,9,Clear,0
Vistara,Delhi,Mumbai,1136,2,Cloudy,0
Vistara,Bangalore,Hyderabad,481,0,Fog,1
SpiceJet,Delhi,Hyderabad,1266,17,Cloudy,0
Vistara,Delhi,Kolkata,1312,16,Fog,1
SpiceJet,Hyderabad,Mumbai,622,2,Rain,0
Indigo,Pune,Mumbai,124,9,Cloudy,0
Vistara,Pune,Mumbai,124,10,Cloudy,0
Vistara,Mumbai,Pune,124,16,Fog,1
Air India,Hyderabad,Pune,500,13,Rain,0
SpiceJet,Pune,Mumbai,124,11,Clear,0
GoAir,Hyderabad,Pune,500,7,Fog,1
Air India,Bangalore,Hyderabad,481,18,Clear,0
Vistara,Delhi,Pune,1155,19,Clear,0
GoAir,Pune,Delhi,1155,7,Cloudy,0
GoAir,Delhi,Mumbai,1136,8,Fog,1
Indigo,Pune,Kolkata,1577,9,Clear,0
GoAir,Bangalore,Kolkata,1572,4,Cloudy,0
GoAir,Pune,Bangalore,736,8,Clear,0
SpiceJet,Bangalore,Hyderabad,481,1,Cloudy,0
GoAir,Delhi,Hyderabad,1266,6,Clear,0
GoAir,Pune,Mumbai,124,12,Clear,0
Vistara,Bangalore,Delhi,1732,6,Fog,0
SpiceJet,Mumbai,Bangalore,846,19,Rain,0
Indigo,Delhi,Mumbai,1136,3,Clear,0
Vistara,Kolkata,Chennai,1385,7,Fog,0
GoAir,Chennai,Bangalore,279,5,Rain,0
Vistara,Mumbai,Chennai,1033,1,Rain,0
Air India,Kolkata,Hyderabad,1207,22,Rain,1
GoAir,Mumbai,Chennai,1033,5,Cloudy,0
Air India,Hyderabad,Chennai,507,22,Clear,1
Air India,Bangalore,Delhi,1732,5,Fog,0
Indigo,Pune,Bangalore,736,12,Cloudy,0
SpiceJet,Kolkata,Bangalore,1572,10,Clear,0
SpiceJet,Hyderabad,Kolkata,1207,16,Fog,0
Indigo,Kolkata,Chennai,1385,8,Clear,0
GoAir,Delhi,Bangalore,1732,15,Fog,0
GoAir,Chennai,Pune,913,17,Clear,0
Vistara,Kolkata,Chennai,1385,23,Cloudy,0
Vistara,Chennai,Mumbai,1033,11,Rain,0
Vistara,Delhi,Pune,1155,15,Fog,1
Vistara,Bangalore,Kolkata,1572,5,Clear,0
Vistara,Bangalore,Pune,736,20,Clear,1
Vistara,Pune,Kolkata,1577,19,Cloudy,0
Air India,Bangalore,Mumbai,846,5,Clear,0
Air India,Pune,Hyderabad,500,8,Clear,0
Air India,Chennai,Kolkata,1385,7,Clear,0
Vistara,Hyderabad,Kolkata,1207,11,Clear,0
GoAir,Bangalore,Pune,736,19,Rain,1
GoAir,Delhi,Hyderabad,1266,6,Rain,0
Air India,Chennai,Pune,913,22,Fog,1
Air India,Kolkata,Delhi,1312,7,Cloudy,0
Air India,Delhi,Hyderabad,1266,22,Cloudy,0
Air India,Chennai,Pune,913,6,Clear,1
Indigo,Kolkata,Hyderabad,1207,6,Rain,0
GoAir,Bangalore,Mumbai,846,21,Cloudy,1
